course_url,course_name,absoulte_url
/course/swayam-principles-of-vibration-control-7930,Principles of Vibration Control,https://www.classcentral.com/course/swayam-principles-of-vibration-control-7930
/course/france-universite-numerique-l-energie-nucleaire-en-france-11021,L'énergie nucléaire en France,https://www.classcentral.com/course/france-universite-numerique-l-energie-nucleaire-en-france-11021
/course/swayam-measurement-technique-in-multiphase-flows-10082,Measurement Technique in Multiphase Flows,https://www.classcentral.com/course/swayam-measurement-technique-in-multiphase-flows-10082
/course/swayam-mechanical-measurement-systems-10084,Mechanical Measurement Systems,https://www.classcentral.com/course/swayam-mechanical-measurement-systems-10084
/course/swayam-multiphase-flows-10089,Multiphase Flows,https://www.classcentral.com/course/swayam-multiphase-flows-10089
/course/swayam-photogeology-in-terrain-evaluation-part-1-10091,Photogeology In Terrain Evaluation (Part – 1),https://www.classcentral.com/course/swayam-photogeology-in-terrain-evaluation-part-1-10091
/course/swayam-mechanism-and-robot-kinematics-10104,Mechanism and Robot Kinematics,https://www.classcentral.com/course/swayam-mechanism-and-robot-kinematics-10104
/course/swayam-metal-cutting-and-machine-tools-10105,Metal Cutting and Machine Tools,https://www.classcentral.com/course/swayam-metal-cutting-and-machine-tools-10105
/course/swayam-gear-and-gear-unit-design-theory-and-practice-10107,Gear and Gear Unit Design : Theory and Practice,https://www.classcentral.com/course/swayam-gear-and-gear-unit-design-theory-and-practice-10107
/course/swayam-introduction-to-molecular-thermodynamics-10028,Introduction to Molecular Thermodynamics,https://www.classcentral.com/course/swayam-introduction-to-molecular-thermodynamics-10028
/course/swayam-introduction-to-geographic-information-systems-10033,Introduction to Geographic Information Systems,https://www.classcentral.com/course/swayam-introduction-to-geographic-information-systems-10033
/course/swayam-failure-analysis-and-prevention-10048,Failure analysis and Prevention,https://www.classcentral.com/course/swayam-failure-analysis-and-prevention-10048
/course/canvas-network-digital-literacies-i-1214,Digital Literacies I,https://www.classcentral.com/course/canvas-network-digital-literacies-i-1214
/course/rwaq-------3112,تكامل تكنولوجيا التعليم في المناهج,https://www.classcentral.com/course/rwaq-------3112
/course/independent-supporting-english-language-learners-under-new-standards-2199,Supporting English Language Learners under New Standards,https://www.classcentral.com/course/independent-supporting-english-language-learners-under-new-standards-2199
/course/novoed-constructive-classroom-conversations-mastering-language-for-college-and-career-readiness-secondary-1854,Constructive Classroom Conversations: Mastering Language for College and Career Readiness (Secondary),https://www.classcentral.com/course/novoed-constructive-classroom-conversations-mastering-language-for-college-and-career-readiness-secondary-1854
